,R_PFK,R_PFL,R_PGI,R_PGK,R_PGL,R_ACALD,R_AKGt2r,R_PGM,R_PIt2r,R_ALCD2x,R_ACALDt,R_ACKr,R_PPC,R_ACONTa,R_ACONTb,R_ATPM,R_PPCK,R_ACt2r,R_PPS,R_ADK1,R_AKGDH,R_ATPS4r,R_PTAr,R_PYK,R_BIOMASS_Ecoli_core_w_GAM,R_PYRt2,R_CO2t,R_RPE,R_CS,R_RPI,R_SUCCt2_2,R_CYTBD,R_D_LACt2,R_ENO,R_SUCCt3,R_ETOHt2r,R_SUCDi,R_SUCOAS,R_TALA,R_THD2,R_TKT1,R_TKT2,R_TPI,R_EX_ac_e,R_EX_acald_e,R_EX_akg_e,R_EX_co2_e,R_EX_etoh_e,R_EX_for_e,R_EX_fru_e,R_EX_fum_e,R_EX_glc__D_e,R_EX_gln__L_e,R_EX_glu__L_e,R_EX_h_e,R_EX_h2o_e,R_EX_lac__D_e,R_EX_mal__L_e,R_EX_nh4_e,R_EX_o2_e,R_EX_pi_e,R_EX_pyr_e,R_EX_succ_e,R_FBA,R_FBP,R_FORt2,R_FORt,R_FRD7,R_FRUpts2,R_FUM,R_FUMt2_2,R_G6PDH2r,R_GAPD,R_GLCpts,R_GLNS,R_GLNabc,R_GLUDy,R_GLUN,R_GLUSy,R_GLUt2r,R_GND,R_H2Ot,R_ICDHyr,R_ICL,R_LDH_D,R_MALS,R_MALt2_2,R_MDH,R_ME1,R_ME2,R_NADH16,R_NADTRHD,R_NH4t,R_O2t,R_PDH
control__wt_glc__1,0.826617,0.9880583,0.9937224,0.9839482,0.9733305,0.9803133,0.9777414,0.99125075,0.9797913,0.9804654,0.8321013,0.9829889,0.9902396,0.9790498,0.9870472,0.98843515,0.99856716,0.98003846,0.99221003,0.97913796,0.9891939,0.9892164,0.9832914,0.9882208,0.995475,0.98552966,0.9876366,0.91921884,0.9877974,0.875132,0.9842852,0.9865114,0.97861946,0.9903762,0.98439926,0.9786886,0.9909863,0.99086183,0.9925678,0.9844667,0.99657774,0.99742985,0.9788562,0.25775066,0.0,0.25775066,0.0,0.25775066,0.5436763,0.3189592,0.40905657,0.31895402,0.4860335,0.36716312,0.62511945,0.42919958,0.25775066,0.40942127,0.4276492,0.683267,0.25775066,0.32994506,0.31713054,0.99443793,0.98150074,0.99437225,0.38056874,0.91153944,0.99121445,0.981836,0.98404324,0.9903243,0.99412686,0.98351777,0.9879546,0.9878043,0.98723215,0.98169255,0.9788476,0.9963893,0.9837148,0.99396265,0.99730366,0.98143333,0.98790795,0.97971183,0.9809649,0.99297917,0.99284434,0.9817738,0.9797636,0.99814194,0.8566396,0.9998652,0.99994123
control__wt_glc__2,0.826292,0.988053,0.99365836,0.9839048,0.9733855,0.98037183,0.9778328,0.99124026,0.9798257,0.9805205,0.84117556,0.9829749,0.99024296,0.9790773,0.9870592,0.9884748,0.99852043,0.98007804,0.99219954,0.9791084,0.98916787,0.98928887,0.98328775,0.9882259,0.99548185,0.9855434,0.98763824,0.9257377,0.9878473,0.86137754,0.9843127,0.9865545,0.97865033,0.9903916,0.98443025,0.9787281,0.99104494,0.9909291,0.9925902,0.98449767,0.9965967,0.9974073,0.9788716,0.25775334,0.0,0.25775334,0.0,0.25775334,0.54549164,0.27734518,0.421191,0.27734,0.5026212,0.39451948,0.6473761,0.4327456,0.25775334,0.42155743,0.43119,0.6868018,0.25775334,0.32994848,0.31713384,0.9944379,0.9815005,0.99441195,0.3817515,0.95066345,0.99127483,0.98187906,0.984069,0.9903052,0.9941665,0.98363686,0.9880323,0.9878318,0.98725104,0.98170274,0.97886294,0.9963927,0.9837475,0.9939678,0.99737275,0.9814348,0.9879372,0.9797531,0.98098546,0.9930206,0.9928702,0.9817857,0.97979456,0.9981679,0.86571765,0.99986863,0.99994123
fur__wt_dpd__1,0.8210656,0.98550653,0.9907656,0.9809522,0.97020835,0.9770855,0.97443694,0.9877208,0.9767374,0.9771389,0.9999414,0.9795616,0.9872159,0.9764444,0.9845295,0.98535144,0.99550426,0.97692174,0.98894423,0.97580516,0.9864215,0.9862802,0.98018026,0.9849172,0.99233025,0.9823807,0.9845157,0.9990678,0.98491204,0.99423605,0.9811814,0.9833888,0.9754261,0.98741925,0.9812314,0.9755174,0.9882084,0.98823947,0.98977995,0.9816449,0.9935726,0.9942274,0.97588444,0.25696588,0.0,0.25696588,0.0,0.25696588,0.6325074,0.25008014,0.25373495,0.27658573,0.48127618,0.42155498,0.6071459,0.5358796,0.25696588,0.25409165,0.5341599,0.7886754,0.25696588,0.32894042,0.31616494,0.9912722,0.9784795,0.9911654,0.45020765,0.9783985,0.9885634,0.97918946,0.98099184,0.98695225,0.9909724,0.98093843,0.9856306,0.9850051,0.9845777,0.9790516,0.97619456,0.9935571,0.9807592,0.9910516,0.9946289,0.9784795,0.9850585,0.9765289,0.9780401,0.9900884,0.98996603,0.97887236,0.9768993,0.9956421,0.9880258,0.9965554,0.9966381
fur__wt_dpd__2,0.8193836,0.98576015,0.99092156,0.98110205,0.9704743,0.97729176,0.9745913,0.9878971,0.9769247,0.9772883,0.9999414,0.9797165,0.98747313,0.9766541,0.9847262,0.9855603,0.9956917,0.9770798,0.989131,0.9759424,0.98656666,0.9864736,0.9803024,0.984995,0.9925139,0.9825238,0.9845056,0.9991659,0.98507947,0.9943044,0.9813278,0.9835492,0.9755305,0.98758,0.9813674,0.97563046,0.988371,0.98840374,0.9899065,0.98178273,0.9936961,0.99437165,0.97597,0.25699067,0.0,0.25699067,0.0,0.25699067,0.6591524,0.2542678,0.25375772,0.30151963,0.48588598,0.4243323,0.6312225,0.56984806,0.25699067,0.25411445,0.5680644,0.8224873,0.25699067,0.32897216,0.31619546,0.99136615,0.97862214,0.99126273,0.47566667,0.99524534,0.98867947,0.9793408,0.98110205,0.98706645,0.99109215,0.9809917,0.98581016,0.9851639,0.9848279,0.9792719,0.97632325,0.99369437,0.98087454,0.99110246,0.99479556,0.978567,0.98522425,0.97657657,0.9781586,0.9902167,0.99009776,0.9789823,0.9770074,0.9957158,0.9880229,0.9965551,0.9967343
fur__wt_fe__1,0.823923,0.9883052,0.99385357,0.98423123,0.9735614,0.9806602,0.9780191,0.9912332,0.980031,0.980738,0.92053384,0.9832373,0.9904865,0.97918755,0.9871679,0.9886302,0.99886614,0.9802004,0.99244314,0.97932583,0.98934746,0.98927486,0.9834292,0.9884141,0.9956875,0.985697,0.98766047,0.9626254,0.98800445,0.937637,0.98447835,0.9866787,0.9787986,0.9905781,0.9845907,0.97884876,0.9910379,0.9908685,0.9926177,0.98458034,0.99662775,0.9974851,0.97891444,0.25775737,0.0,0.25775737,0.0,0.25775737,0.5421089,0.33651486,0.38950267,0.36441574,0.5225565,0.34970477,0.60947233,0.46259776,0.25775737,0.38987258,0.46099374,0.71652657,0.25775737,0.3299536,0.31713876,0.9944136,0.98167825,0.99451905,0.37956056,0.91191226,0.9912989,0.98193234,0.9842105,0.99051934,0.99431163,0.9834828,0.98799926,0.9878921,0.9873511,0.9818701,0.9788505,0.9964324,0.98378354,0.99392617,0.99732435,0.98147434,0.9879906,0.97975624,0.9810232,0.99308443,0.9929565,0.98189604,0.9798634,0.9981626,0.9451057,0.99981505,0.99994123
fur__wt_fe__2,0.8248775,0.98825175,0.9938536,0.9841986,0.97344416,0.9805429,0.9779191,0.99120396,0.97996044,0.9806414,0.8519363,0.98318225,0.99038637,0.9791325,0.9871196,0.9885594,0.99878836,0.98014706,0.99238104,0.97927594,0.98928535,0.9892041,0.9833897,0.9883641,0.9956132,0.9856522,0.9876762,0.9583255,0.98792684,0.9285997,0.9844319,0.9866046,0.97873324,0.9905506,0.9845391,0.97878855,0.99099827,0.9908323,0.99258846,0.98453045,0.9966019,0.9974713,0.9788871,0.25775424,0.0,0.25775424,0.0,0.25775424,0.54522043,0.33850196,0.3864127,0.3776754,0.5192281,0.3511317,0.6152967,0.43691266,0.25775424,0.38678086,0.43535015,0.69095075,0.25775424,0.32994962,0.31713492,0.9944327,0.98159033,0.9944621,0.3815765,0.9117543,0.99129385,0.9818686,0.9841571,0.99046415,0.9942443,0.9834329,0.9879839,0.98783004,0.98731667,0.9817753,0.9788352,0.996429,0.98375607,0.9939677,0.9973157,0.98147106,0.98797524,0.97974783,0.9810321,0.9930499,0.99293065,0.98184615,0.97980833,0.9981454,0.87648195,0.9998617,0.99994123
fur__delfur_dpd__1,0.8245752,0.9861936,0.9916472,0.9817507,0.9707919,0.97772866,0.9751313,0.98870826,0.97747344,0.9778494,0.72533303,0.9803796,0.9877769,0.9771112,0.985214,0.9860625,0.99613833,0.97774076,0.98975515,0.97664726,0.9870974,0.98697835,0.98099875,0.9858124,0.99304765,0.98325294,0.9856676,0.99994135,0.98567617,0.9951829,0.98205775,0.9840998,0.9762782,0.9881736,0.9821026,0.97637135,0.9890653,0.9891101,0.99065894,0.9824527,0.99439293,0.99502593,0.9767663,0.257199,0.0,0.257199,0.0,0.257199,0.62031305,0.2645963,0.2956344,0.3053118,0.48141786,0.42590773,0.6087074,0.3849094,0.257199,0.2959897,0.38343474,0.6386158,0.257199,0.32923883,0.31645176,0.99221635,0.9792395,0.9920473,0.43915358,0.99038815,0.9894706,0.97991043,0.98185074,0.9878235,0.9918421,0.98178005,0.9863437,0.9857176,0.9850622,0.9794586,0.9770164,0.994436,0.98154724,0.9922525,0.9956606,0.9793275,0.9858711,0.97741824,0.9789015,0.99097455,0.9908331,0.9797156,0.97774595,0.9965126,0.74978095,0.9978148,0.99756986
fur__delfur_dpd__2,0.82641995,0.986168,0.99169636,0.9817989,0.9707664,0.97769535,0.97514594,0.98885196,0.9774694,0.9778644,0.76707476,0.9804362,0.9877532,0.97713304,0.98521936,0.9860766,0.9961673,0.97775227,0.9897903,0.97671384,0.98712707,0.98700976,0.9810589,0.9858282,0.99304867,0.9832685,0.9856454,0.99994135,0.985723,0.9672252,0.98207486,0.98413783,0.9763223,0.98829484,0.98212314,0.9764068,0.98913485,0.98915726,0.9907097,0.9824768,0.9944993,0.9951479,0.97687775,0.2572256,0.0,0.2572256,0.0,0.2572256,0.60457546,0.25507465,0.25399485,0.3129174,0.47267243,0.40905124,0.5874196,0.40271568,0.2572256,0.25434846,0.40121502,0.6563776,0.2572256,0.32927293,0.3164845,0.99231905,0.9793357,0.99209994,0.425681,0.9665145,0.989554,0.9799687,0.98190236,0.98786706,0.99188435,0.98182476,0.98640263,0.985792,0.9851331,0.9795772,0.97703296,0.9945079,0.9816212,0.99229145,0.9957757,0.9794375,0.9859334,0.9775073,0.9789683,0.9910771,0.99092185,0.97981524,0.97782815,0.9965847,0.79154074,0.99788356,0.99769384
fur__delfur_fe2__1,0.8283989,0.9879423,0.99374473,0.98413104,0.97298944,0.98020226,0.97752315,0.99079597,0.9796699,0.9804097,0.89427036,0.9828105,0.9901167,0.9792153,0.98722327,0.9883174,0.9984824,0.97998965,0.9920906,0.9790632,0.98929393,0.989007,0.9830957,0.9882171,0.9953816,0.98549825,0.9875758,0.9122912,0.9878213,0.894756,0.98417425,0.9863936,0.97858787,0.99054533,0.9842503,0.9786674,0.9907614,0.9907545,0.99252963,0.98442143,0.99658114,0.9974471,0.9788696,0.25775602,0.0,0.25775602,0.0,0.25775602,0.57142067,0.3138859,0.3624659,0.35365248,0.49803907,0.35902452,0.5962171,0.4529402,0.25775602,0.36282712,0.45134655,0.7069057,0.25775602,0.32995188,0.31713712,0.99448276,0.98150724,0.99432546,0.39969337,0.79418236,0.9913422,0.9820725,0.9840498,0.99025494,0.99409735,0.98352957,0.98815316,0.9878282,0.98685163,0.9816127,0.97893703,0.99630976,0.9837542,0.9937983,0.9972725,0.98149514,0.9878178,0.9798185,0.980987,0.99307925,0.9929254,0.9818305,0.9798185,0.99818337,0.91883343,0.99983233,0.99994123
fur__delfur_fe2__2,0.82795256,0.9879888,0.99377054,0.98414296,0.9730375,0.98024523,0.97755575,0.99082005,0.979699,0.9804423,0.9029598,0.9828276,0.99017364,0.9792462,0.987249,0.9883518,0.99852216,0.9800205,0.9921285,0.97907335,0.98931974,0.989038,0.9831145,0.988255,0.99542475,0.9855361,0.98759127,0.90925324,0.9878713,0.90308255,0.98419654,0.98643494,0.97861356,0.99056596,0.98427606,0.9786948,0.9907699,0.9907803,0.9925485,0.984442,0.9966018,0.9974781,0.9788815,0.25775912,0.0,0.25775912,0.0,0.25775912,0.58122635,0.3222486,0.37306756,0.3625446,0.5028105,0.3605966,0.61220926,0.4561589,0.25775912,0.37343055,0.45456353,0.71011364,0.25775912,0.32995588,0.31714097,0.99449134,0.98152775,0.9943427,0.40699583,0.7983645,0.99136454,0.9820947,0.98406345,0.99028766,0.99412316,0.983538,0.9881859,0.9878471,0.9868895,0.981628,0.97896963,0.9963339,0.98376614,0.9938034,0.9972984,0.981507,0.98784363,0.9798511,0.98099715,0.9931051,0.99296856,0.9818631,0.9798494,0.99820757,0.927525,0.9998375,0.99994123
