,R_PFK,R_PFL,R_PGI,R_PGK,R_PGL,R_ACALD,R_AKGt2r,R_PGM,R_PIt2r,R_ALCD2x,R_ACALDt,R_ACKr,R_PPC,R_ACONTa,R_ACONTb,R_ATPM,R_PPCK,R_ACt2r,R_PPS,R_ADK1,R_AKGDH,R_ATPS4r,R_PTAr,R_PYK,R_BIOMASS_Ecoli_core_w_GAM,R_PYRt2,R_CO2t,R_RPE,R_CS,R_RPI,R_SUCCt2_2,R_CYTBD,R_D_LACt2,R_ENO,R_SUCCt3,R_ETOHt2r,R_SUCDi,R_SUCOAS,R_TALA,R_THD2,R_TKT1,R_TKT2,R_TPI,R_EX_ac_e,R_EX_acald_e,R_EX_akg_e,R_EX_co2_e,R_EX_etoh_e,R_EX_for_e,R_EX_fru_e,R_EX_fum_e,R_EX_glc__D_e,R_EX_gln__L_e,R_EX_glu__L_e,R_EX_h_e,R_EX_h2o_e,R_EX_lac__D_e,R_EX_mal__L_e,R_EX_nh4_e,R_EX_o2_e,R_EX_pi_e,R_EX_pyr_e,R_EX_succ_e,R_FBA,R_FBP,R_FORt2,R_FORt,R_FRD7,R_FRUpts2,R_FUM,R_FUMt2_2,R_G6PDH2r,R_GAPD,R_GLCpts,R_GLNS,R_GLNabc,R_GLUDy,R_GLUN,R_GLUSy,R_GLUt2r,R_GND,R_H2Ot,R_ICDHyr,R_ICL,R_LDH_D,R_MALS,R_MALt2_2,R_MDH,R_ME1,R_ME2,R_NADH16,R_NADTRHD,R_NH4t,R_O2t,R_PDH
control__wt_glc__1,0.5474966,0.95247585,0.96703035,0.95581275,0.90841657,0.9589115,0.95286167,0.9554761,0.9522829,0.9622484,0.72888184,0.9441719,0.81989044,0.9520742,0.9754485,0.97670645,0.99993306,0.9505721,0.9928615,0.9372008,0.98184866,0.982018,0.95186555,0.9812246,0.997988,0.96468955,0.96001196,0.7913937,0.9840261,0.74836993,0.96130145,0.9695641,0.9430458,0.9742692,0.96007496,0.9428765,0.95787793,0.9713772,0.97736204,0.97052675,0.9793445,0.9824373,0.9380709,0.22981502,0.0,0.22981502,0.0,0.22981502,0.4133422,0.2901337,0.3667571,0.29011598,0.43734446,0.3286216,0.49183583,0.39115113,0.22981502,0.36733195,0.3889324,0.61543214,0.22981502,0.22095394,0.22394636,0.9717729,0.94853055,0.98139,0.29069677,0.78891116,0.9575058,0.94306153,0.95382047,0.97784436,0.9992893,0.93361974,0.9666307,0.9560628,0.97409207,0.93586797,0.94527435,0.960199,0.9506115,0.963276,0.98876274,0.9352852,0.9532003,0.9370511,0.9255402,0.96816826,0.95360386,0.92613083,0.9201676,0.9670619,0.72967523,0.9473671,0.946052
control__wt_glc__2,0.53914833,0.95266753,0.966527,0.95625544,0.90916914,0.9598355,0.9532327,0.9552413,0.9531323,0.96328956,0.7373595,0.94428056,0.7994809,0.9529393,0.9761526,0.97730654,0.9996672,0.9511433,0.99330854,0.93681717,0.9827731,0.98214495,0.9522481,0.9811899,0.9981824,0.96496934,0.96040857,0.79754317,0.9847227,0.7360086,0.9620411,0.97043985,0.943804,0.97386235,0.96058184,0.9434968,0.95807505,0.9714599,0.9774405,0.97115076,0.98013043,0.98273575,0.9385914,0.22987838,0.0,0.22987838,0.0,0.22987838,0.41511032,0.25214645,0.3779568,0.25212678,0.452636,0.35374114,0.51234514,0.39449638,0.22987838,0.37853378,0.39227116,0.61881953,0.22987838,0.22101486,0.2240081,0.97241104,0.9489358,0.9820406,0.29185212,0.8248722,0.95644253,0.9443928,0.95456195,0.9782065,0.99993306,0.9333159,0.9671296,0.95713574,0.97480565,0.93674237,0.9456413,0.9685474,0.9507849,0.9636893,0.9890432,0.93572426,0.9539239,0.9377309,0.9261991,0.9688172,0.958272,0.926841,0.92054933,0.9676081,0.738159,0.9477602,0.94651955
fur__wt_dpd__1,0.32129276,0.95900023,0.9737173,0.96035,0.88250035,0.96573716,0.95674473,0.97039026,0.9537058,0.9678052,0.97538674,0.9446581,0.85659456,0.95426625,0.9792544,0.9779205,0.9998264,0.95097077,0.99741495,0.9317151,0.9812475,0.9813896,0.9550615,0.9837655,0.99872327,0.9649814,0.96890634,0.9830412,0.984539,0.9127475,0.9604269,0.97107697,0.9430479,0.9808252,0.9600224,0.9425762,0.9188924,0.9739245,0.98443246,0.96838933,0.98879546,0.989644,0.94291174,0.23035605,0.0,0.23035605,0.0,0.23035605,0.4974988,0.22836694,0.22590028,0.2527217,0.4353529,0.38044515,0.47820365,0.49131835,0.23035605,0.22646268,0.48885763,0.71543276,0.23035605,0.22147411,0.22447357,0.97642666,0.95038867,0.98326224,0.35635874,0.85477316,0.96130115,0.94673604,0.9535045,0.97929585,0.9999329,0.9390854,0.963312,0.9607664,0.9774765,0.94436604,0.9449896,0.9738791,0.9537098,0.9747138,0.9938294,0.94754905,0.95961,0.9475885,0.9267226,0.971592,0.96131694,0.93030417,0.9237014,0.9160331,0.94950265,0.95412415,0.95325196
fur__wt_dpd__2,0.25361398,0.95965636,0.97280526,0.95983577,0.80069864,0.93121964,0.9572415,0.9694697,0.9537936,0.96863586,0.9760501,0.9445065,0.79213315,0.955004,0.9799376,0.9782442,0.99993294,0.9507281,0.99811935,0.9313419,0.9807419,0.98169994,0.95463336,0.9845269,0.998829,0.9645749,0.969521,0.97350705,0.98470235,0.92212385,0.9600703,0.97154164,0.94246227,0.9819819,0.9595499,0.94185114,0.9450881,0.97358984,0.98355895,0.96747273,0.987819,0.9889072,0.9424859,0.23012535,0.0,0.23012535,0.0,0.23012535,0.5214059,0.23196068,0.22567208,0.27534413,0.43910605,0.38257763,0.49980384,0.5219638,0.23012535,0.22623588,0.51941484,0.7455955,0.23012535,0.22125232,0.22424877,0.9759318,0.9505921,0.9829597,0.37930715,0.8839546,0.9607682,0.9470239,0.9527369,0.9788336,0.9992272,0.938766,0.96301556,0.9607524,0.9771915,0.9453601,0.9446406,0.97347945,0.95284337,0.97608757,0.9933447,0.94832504,0.9591931,0.94791305,0.9260882,0.97115326,0.96087664,0.9297944,0.9232594,0.94072354,0.9502037,0.95479697,0.95228744
fur__wt_fe__1,0.47744536,0.95136213,0.96611696,0.95535046,0.90735304,0.95880634,0.9523641,0.95365685,0.95194757,0.9621758,0.8079358,0.94431084,0.6921173,0.95172757,0.9750425,0.9765259,0.9999332,0.9501479,0.9930548,0.93878025,0.9825732,0.9832235,0.9511126,0.9809111,0.99830055,0.9644371,0.9603034,0.8292291,0.9834337,0.80378044,0.9610205,0.9693626,0.94248563,0.97383624,0.96015215,0.94262123,0.95759803,0.97184795,0.97618794,0.97142357,0.9778265,0.9809857,0.9364953,0.22934815,0.0,0.22934815,0.0,0.22934815,0.41105255,0.3055526,0.3481471,0.33100125,0.4697811,0.31200662,0.47652587,0.42081904,0.22934815,0.34872866,0.41853017,0.6444401,0.22934815,0.22050509,0.22349142,0.9704118,0.94816756,0.98083246,0.28917888,0.78762287,0.95715404,0.9422872,0.9531834,0.9782175,0.9993025,0.93336946,0.968005,0.9562896,0.9749423,0.93566424,0.94580793,0.95083165,0.95047605,0.9626984,0.9882904,0.93329287,0.9519024,0.93554634,0.9236266,0.9673567,0.95678073,0.9252101,0.9196618,0.96660024,0.80877274,0.94672346,0.94462126
fur__wt_fe__2,0.4998172,0.95199996,0.96682185,0.95511377,0.9074813,0.9585872,0.95240295,0.9537043,0.9519901,0.9618819,0.745866,0.94450843,0.73812485,0.9512038,0.9745394,0.97640884,0.9999332,0.9501934,0.9930176,0.9388392,0.98213905,0.9830512,0.9513041,0.98097336,0.9980775,0.9645828,0.9593932,0.8257881,0.9832104,0.79598117,0.96107,0.969283,0.9424857,0.9735467,0.96018934,0.9425407,0.9584477,0.97194266,0.97646,0.9709067,0.97795594,0.9812682,0.9367358,0.22947349,0.0,0.22947349,0.0,0.22947349,0.41412756,0.3075379,0.3455204,0.34329125,0.46700466,0.31348437,0.48211744,0.39760333,0.22947349,0.34609836,0.39537415,0.6215078,0.22947349,0.22062558,0.22361355,0.970602,0.94800556,0.98086524,0.29117686,0.78792155,0.95786977,0.94212985,0.9531323,0.9781368,0.9991272,0.9341567,0.9670184,0.95604944,0.97382,0.93518287,0.9457213,0.95499384,0.9502347,0.9622219,0.98807174,0.9336869,0.9522791,0.9361284,0.9243397,0.9678126,0.9570893,0.925415,0.9199383,0.96656233,0.74666804,0.9462481,0.9449075
fur__delfur_dpd__1,0.3872544,0.9589695,0.97397614,0.95872074,0.9143264,0.96346045,0.95575374,0.9678665,0.953148,0.96545815,0.6345687,0.94460434,0.993685,0.95133585,0.9761733,0.97620094,0.9978404,0.95065284,0.99494845,0.9320178,0.97910273,0.9799279,0.9544864,0.98314166,0.9967685,0.96514624,0.96164036,0.9783684,0.98221385,0.8688701,0.96078956,0.96973395,0.94307643,0.9782855,0.9602072,0.9425671,0.946681,0.97355765,0.9837654,0.9674618,0.9889236,0.9894704,0.9418466,0.23044017,0.0,0.23044017,0.0,0.23044017,0.4859527,0.24157971,0.26429504,0.27898195,0.4352454,0.38423607,0.47930807,0.35235128,0.23044017,0.26485765,0.35023707,0.5775089,0.23044017,0.221555,0.22455554,0.9751981,0.94813395,0.98313576,0.34597513,0.8652694,0.96235496,0.9444918,0.9536376,0.9784217,0.9999329,0.9401272,0.96144885,0.9588491,0.9737689,0.9393968,0.9436252,0.9740492,0.952236,0.96844095,0.9914011,0.947522,0.9597808,0.9468232,0.92688334,0.97116315,0.9612061,0.9302175,0.9235373,0.89726675,0.63531095,0.9484123,0.95304143
fur__delfur_dpd__2,0.48018926,0.9588396,0.97342104,0.9581758,0.9139552,0.96314824,0.9545645,0.96647704,0.95275295,0.965266,0.67329264,0.94506216,0.9932911,0.9512969,0.9758075,0.9759675,0.99757403,0.9503388,0.99440134,0.932715,0.9789723,0.97960055,0.9545902,0.9826014,0.99626225,0.96481955,0.9619471,0.91548824,0.98165905,0.8371916,0.9603607,0.9693159,0.9428179,0.9779885,0.9599281,0.94246626,0.923102,0.97358894,0.98306566,0.96679115,0.9882139,0.9889093,0.9421186,0.23061499,0.0,0.23061499,0.0,0.23061499,0.47179714,0.23298366,0.2261621,0.28615934,0.4274877,0.36898202,0.46002093,0.36895433,0.23061499,0.2267212,0.366801,0.594184,0.23061499,0.22172306,0.22472589,0.97559416,0.94837314,0.9829234,0.3338292,0.84389263,0.96247655,0.9446354,0.95360833,0.97801816,0.9999328,0.9404966,0.96171594,0.9589462,0.97360677,0.9402082,0.94316757,0.9739821,0.9516387,0.96941465,0.9906083,0.94717795,0.959693,0.9463818,0.9270432,0.9711768,0.9615579,0.9305103,0.92415494,0.8974812,0.6740572,0.94974023,0.95339894
fur__delfur_fe2__1,0.6130125,0.9515531,0.96852344,0.95714355,0.9082965,0.958687,0.95320505,0.9622589,0.9521307,0.9620322,0.7866264,0.94532406,0.9838517,0.94879735,0.9722924,0.9763847,0.9990834,0.9510682,0.9933767,0.9364062,0.9812221,0.982803,0.9513284,0.9803784,0.99780995,0.96530837,0.96186066,0.7860764,0.98221755,0.7672157,0.9600846,0.96928436,0.94387716,0.9752177,0.9592981,0.9435677,0.9068122,0.9690872,0.97731316,0.9714487,0.9792883,0.982529,0.9386692,0.2301113,0.0,0.2301113,0.0,0.2301113,0.43926647,0.28585172,0.3245469,0.32225043,0.44889393,0.32158613,0.46596873,0.41338423,0.2301113,0.32511857,0.41110155,0.63780266,0.2301113,0.22123879,0.22423506,0.97232395,0.9492212,0.9823082,0.3085445,0.682376,0.95980865,0.9428068,0.9539541,0.9792686,0.999933,0.93652254,0.96567696,0.9577783,0.9789808,0.9357557,0.94272596,0.92311424,0.95148414,0.9637708,0.9881805,0.9318862,0.9539817,0.9359942,0.9258641,0.9693099,0.95931387,0.92795557,0.92202216,0.9690241,0.78745234,0.94949317,0.94767374
fur__delfur_fe2__2,0.59743077,0.9516724,0.9687795,0.9573189,0.9083941,0.9587951,0.9532924,0.9624826,0.95214343,0.96215343,0.794411,0.9451823,0.9722522,0.94879097,0.9722522,0.9764442,0.99918014,0.95107913,0.9936085,0.9362799,0.98113686,0.9828929,0.95107126,0.98057514,0.9980291,0.9654389,0.96195245,0.78314555,0.9822267,0.77467674,0.96018654,0.96942395,0.94390714,0.9756578,0.9593016,0.9435879,0.9169516,0.9688899,0.97731334,0.97166485,0.97909105,0.98246914,0.9386213,0.23006912,0.0,0.23006912,0.0,0.23006912,0.44815537,0.2934502,0.33419394,0.33032513,0.45317516,0.322962,0.4805308,0.41625097,0.23006912,0.3347655,0.41396084,0.6406066,0.23006912,0.22119825,0.22419396,0.97226006,0.9492364,0.9823883,0.31515735,0.68607247,0.9601786,0.94285077,0.9539724,0.9793177,0.999933,0.93679625,0.96563596,0.9578708,0.9790556,0.9357478,0.94276404,0.92815006,0.9516231,0.9637065,0.98812157,0.9316858,0.9541222,0.9360198,0.92583823,0.9694319,0.95935285,0.92809093,0.9221784,0.96923476,0.79524076,0.9494453,0.94771683
