,0
R_PFK,True
R_PFL,True
R_PGI,False
R_PGK,False
R_PGL,True
R_ACALD,False
R_AKGt2r,False
R_PGM,False
R_PIt2r,False
R_ALCD2x,False
R_ACALDt,False
R_ACKr,False
R_PPC,True
R_ACONTa,False
R_ACONTb,False
R_ATPM,False
R_PPCK,True
R_ACt2r,False
R_PPS,True
R_ADK1,False
R_AKGDH,True
R_ATPS4r,False
R_PTAr,False
R_PYK,True
R_BIOMASS_Ecoli_core_w_GAM,True
R_PYRt2,False
R_CO2t,False
R_RPE,False
R_CS,True
R_RPI,False
R_SUCCt2_2,True
R_CYTBD,True
R_D_LACt2,False
R_ENO,False
R_SUCCt3,True
R_ETOHt2r,False
R_SUCDi,True
R_SUCOAS,False
R_TALA,False
R_THD2,True
R_TKT1,False
R_TKT2,False
R_TPI,False
R_EX_ac_e,True
R_EX_acald_e,True
R_EX_akg_e,True
R_EX_co2_e,False
R_EX_etoh_e,True
R_EX_for_e,True
R_EX_fru_e,True
R_EX_fum_e,True
R_EX_glc__D_e,False
R_EX_gln__L_e,True
R_EX_glu__L_e,True
R_EX_h_e,False
R_EX_h2o_e,False
R_EX_lac__D_e,True
R_EX_mal__L_e,True
R_EX_nh4_e,False
R_EX_o2_e,False
R_EX_pi_e,False
R_EX_pyr_e,True
R_EX_succ_e,True
R_FBA,False
R_FBP,True
R_FORt2,True
R_FORt,False
R_FRD7,True
R_FRUpts2,True
R_FUM,False
R_FUMt2_2,True
R_G6PDH2r,False
R_GAPD,False
R_GLCpts,True
R_GLNS,True
R_GLNabc,True
R_GLUDy,False
R_GLUN,True
R_GLUSy,True
R_GLUt2r,False
R_GND,True
R_H2Ot,False
R_ICDHyr,False
R_ICL,True
R_LDH_D,False
R_MALS,True
R_MALt2_2,True
R_MDH,False
R_ME1,True
R_ME2,True
R_NADH16,True
R_NADTRHD,True
R_NH4t,False
R_O2t,False
R_PDH,True
