,0
R_EX_5fthf_e,True
R_EX_5homeprazole_e,True
R_EX_34dhoxpeg_e,True
R_EX_5htrp_e,True
R_EX_34dhphe_e,True
R_EX_35cgmp_e,True
R_EX_3aib_e,True
R_EX_3aib__D_e,True
R_EX_3mlda_e,True
R_EX_4abut_e,True
R_EX_4hdebrisoquine_e,True
R_EX_acald_e,True
R_DM_Ser_Thr_l,True
R_EX_4hphac_e,True
R_ATPM,True
R_DM_avite1_c,True
R_EX_acetone_e,True
R_EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,True
R_EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e,True
R_DM_avite2_c,True
R_DM_bvite_c,True
R_EX_4mptnl_e,True
R_DM_core5_g,True
R_EX_acgam_e,True
R_EX_ach_e,True
R_EX_acn13acngalgbside_hs_e,True
R_EX_acn23acngalgbside_hs_e,True
R_EX_4mtolbutamide_e,True
R_EX_acnacngal14acglcgalgluside_hs_e,True
R_EX_acnacngalgbside_hs_e,True
R_EX_acngalacglcgal14acglcgalgluside_hs_e,True
R_EX_4nph_e,True
R_EX_ade_e,True
R_EX_adn_e,True
R_EX_adp_e,True
R_EX_adprbp_e,True
R_EX_adprib_e,True
R_EX_adrn_e,True
R_EX_adrnl_e,True
R_EX_aflatoxin_e,True
R_EX_ahandrostanglc_e,True
R_DM_core7_g,True
R_DM_core8_g,True
R_DM_datp_m,True
R_DM_datp_n,True
R_DM_dctp_m,True
R_DM_13_cis_oretn_n,False
R_DM_13_cis_retn_n,False
R_EX_ak2lgchol_hs_e,True
R_EX_akg_e,True
R_EX_ala_B_e,True
R_DM_Asn_X_Ser_Thr_l,True
R_EX_4nphsf_e,True
R_DM_Ser_Gly_Ala_X_Gly_l,True
R_DM_dctp_n,True
R_DM_dem2emgacpail_prot_hs_r,True
R_EX_ala__D_e,True
R_EX_ala__L_e,True
R_EX_aldstrn_e,True
R_EX_amp_e,True
R_DM_dgpi_prot_hs_r,True
R_EX_4pyrdx_e,True
R_DM_dgtp_m,True
R_EX_andrstrn_e,True
R_EX_andrstrnglc_e,True
R_EX_5adtststerone_e,True
R_EX_antipyrene_e,True
R_DM_dgtp_n,True
R_DM_dsT_antigen_g,True
R_EX_5adtststeroneglc_e,True
R_DM_dttp_m,True
R_DM_dttp_n,True
R_DM_ethamp_r,True
R_DM_gncore2_g,True
R_DM_gpi_sig_r,True
R_EX_5adtststerones_e,True
R_DM_hretn_n,True
R_DM_kdn_c,True
R_EX_apnnox_e,True
R_EX_appnn_e,True
R_DM_m_em_3gacpail_prot_hs_r,True
R_EX_5dhf_e,True
R_DM_melanin_c,True
R_EX_aprgstrn_e,True
R_EX_aqcobal_e,True
R_EX_5mthf_e,True
R_EX_arab__L_e,True
R_EX_arach_e,True
R_DM_mem2emgacpail_prot_hs_r,True
R_DM_n5m2masn_g,True
R_DM_oretn_n,True
R_EX_arachd_e,True
R_DM_sTn_antigen_g,True
R_EX_5thf_e,True
R_DM_sprm_c,True
R_DM_yvite_c,True
R_SK_T_antigen_g,False
R_EX_arg__L_e,False
R_EX_ascb__L_e,True
R_EX_asn__L_e,True
R_EX_asp__D_e,True
R_EX_6dhf_e,True
R_EX_asp__L_e,True
R_EX_10fthf_e,True
R_EX_10fthf5glu_e,True
R_EX_6htststerone_e,True
R_EX_atp_e,True
R_EX_avite1_e,True
R_EX_avite2_e,True
R_EX_10fthf6glu_e,True
R_EX_10fthf7glu_e,True
R_EX_11_cis_retfa_e,True
R_EX_bhb_e,True
R_EX_6thf_e,True
R_EX_13_cis_retnglc_e,True
R_EX_1glyc_hs_e,True
R_EX_1mncam_e,True
R_EX_7dhf_e,True
R_EX_2425dhvitd2_e,True
R_EX_2425dhvitd3_e,True
R_EX_7thf_e,True
R_EX_24nph_e,True
R_EX_9_cis_retfa_e,True
R_EX_25hvitd2_e,True
R_EX_25hvitd3_e,True
R_EX_bildglcur_e,True
R_EX_bilglcur_e,True
R_EX_bilirub_e,True
R_EX_clpnd_e,True
R_EX_biocyt_e,True
R_EX_cysi__L_e,True
R_EX_2hb_e,True
R_EX_2mcit_e,True
R_EX_Rtotal_e,True
R_EX_Rtotal2_e,True
R_EX_Rtotal3_e,True
R_EX_cspg_e_e,True
R_EX_Tyr_ggn_e,True
R_EX_btn_e,True
R_EX_abt_e,True
R_EX_but_e,True
R_EX_bvite_e,True
R_EX_cyan_e,True
R_EX_cys__L_e,True
R_EX_ac_e,True
R_EX_cytd_e,True
R_EX_dad_2_e,True
R_EX_dad_5_e,True
R_EX_dag_hs_e,True
R_EX_bz_e,True
R_EX_ca2_e,False
R_EX_camp_e,True
R_EX_caro_e,True
R_EX_acac_e,True
R_EX_carveol_e,True
R_EX_cca_d3_e,True
R_EX_dcsptn1_e,True
R_EX_gq1b_hs_e,True
R_EX_dcyt_e,True
R_EX_debrisoquine_e,True
R_EX_dgchol_e,True
R_EX_dgsn_e,True
R_EX_dhdascb_e,True
R_EX_cgly_e,True
R_EX_chol_e,True
R_EX_cholate_e,True
R_EX_chsterol_e,True
R_EX_chtn_e,True
R_EX_cit_e,True
R_EX_cl_e,False
